compound,t.stat_CJM_4Hours,p.val_CJM_4Hours,p.adj_CJM_4Hours,t.stat_CJM_8Hours,p.val_CJM_8Hours,p.adj_CJM_8Hours,t.stat_CJM_CERS1_4Hours,p.val_CJM_CERS1_4Hours,p.adj_CJM_CERS1_4Hours,t.stat_CJM_CERS1_8Hours,p.val_CJM_CERS1_8Hours,p.adj_CJM_CERS1_8Hours,t.stat_639V_4Hours,p.val_639V_4Hours,p.adj_639V_4Hours,t.stat_639V_8Hours,p.val_639V_8Hours,p.adj_639V_8Hours
QI835,-1.905012047505843,0.1622444897473485,0.997297185065356,-0.9737397964837444,0.4011840024698321,0.887397907799511,-8.361185473521216,0.0011509839496751022,0.0268373321521628,-8.507368281022028,0.0023447893486754703,0.0519072357020308,-12.842342430374595,0.0012655567940133088,0.0284078724339273,-23.27944898178149,3.2747561160837155e-5,0.00228600229558726
QI7170,-2.337911114901941,0.10382464032900285,0.997297185065356,-1.5266088104382627,0.24591409909379305,0.887397907799511,-13.984594537284378,1.643585690656045e-4,0.00991218107124221,-6.15613342901195,0.009247862338528843,0.099921808560248,-15.517532893343809,3.774419581219448e-4,0.0136989228330141,-28.356773172209405,1.5811594977428346e-4,0.0059887034102089
QI872,-0.8864732900876785,0.4685223460406711,0.997297185065356,-0.588951429313374,0.5878426685632405,0.887397907799511,-26.555061963266187,9.005629394565511e-5,0.00680004154593787,-20.111403976619506,4.7505437518009693e-4,0.0236196629238161,-29.18866243358856,7.447781558401398e-4,0.0206448342806877,-27.141617208450324,7.164005612915386e-4,0.0135524738257534
QI909,0.6905944402487961,0.534450153522729,0.997297185065356,0.9726214496756488,0.41172560691042726,0.887397907799511,-11.719569620238547,0.006609320963899415,0.0802017601383316,-23.167614685033346,1.1605117434000268e-4,0.0118548640676702,-51.6792209582528,1.5572778872806822e-4,0.00855542872183449,-42.293806340341796,4.071993389569798e-4,0.00990480917258141
QI7013,-6.484268095456144,0.003234218217302312,0.327418396965026,-2.8360340867536795,0.09825822268283267,0.765917593915453,-44.12668328380232,6.11497482652696e-5,0.00557366057767872,-32.45147234887164,5.883970841079681e-4,0.026219627842389,-38.39897512028535,1.810112082684493e-4,0.00924771274854288,-43.08175712931826,3.3706944862504077e-4,0.00889353305072846
QI7177,-0.09519982582232676,0.9287469766558681,0.997297185065356,0.43126559635383166,0.6889808844954957,0.887397907799511,-20.02444211213002,1.1826441657569387e-4,0.00783966020953422,-78.00717759659952,2.142239702650142e-7,0.000171829046549568,-33.930514301263976,9.480820024262704e-6,0.00135795816811806,-23.297412463357904,0.001083249344424029,0.0175885485660428
QI924,-1.0851054362829642,0.37018117208063717,0.997297185065356,-2.003023680358602,0.11579138442066622,0.804820359131858,-2.7415533006989463,0.056103041840194365,0.31510318871739,-4.054591761392898,0.02710976245970005,0.106444927189749,-6.101323316288348,0.0036754198531064935,0.056153414555747,-4.236188211608957,0.04069579670371663,0.206988576639512
QI822,-0.09519982582232676,0.9287469766558681,0.997297185065356,0.43126559635383166,0.6889808844954957,0.887397907799511,-13.421229095861104,3.853250282326975e-4,0.0154534602572723,-6.546944637906204,0.020527198702215567,0.106444927189749,-26.47848704774631,1.0358390395725717e-4,0.00675484954179805,-26.230076383995826,5.154760941821346e-5,0.00306269166772956
QI1047,-4.245417771534834,0.02508387342957837,0.754532683210544,-2.3740877393786666,0.1100952759400328,0.790313545607633,-9.09477226932537,8.967882725426212e-4,0.0236616405725801,-4.321469630047115,0.022200107623867305,0.106444927189749,-8.379900958550051,0.004214329321419848,0.0610860313489015,-7.201766978057375,0.01693160609086722,0.112416497559788
QI1471,0.014259850384101469,0.9893063646277591,0.999896281861161,-2.5170342666887824,0.0658154608060926,0.677879638021474,-6.655900062292365,0.0094003915846397,0.100164433860094,-3.9607038259355556,0.01938976374158412,0.106444927189749,-10.49844162491516,0.002603262360071733,0.0452945062692741,-13.396307147201588,5.17744304153972e-4,0.0113465220317459
