compound,cjm_dmso_4hr_01,cjm_dmso_4hr_02,cjm_dmso_4hr_03,cjm_dmso_8hr_01,cjm_dmso_8hr_02,cjm_dmso_8hr_03,cjm_dmso_24hr_01,cjm_dmso_24hr_02,cjm_dmso_24hr_03,cjm_brd_4hr_01,cjm_brd_4hr_02,cjm_brd_4hr_03,cjm_brd_8hr_01,cjm_brd_8hr_02,cjm_brd_8hr_03,cjm_brd_24hr_01,cjm_brd_24hr_02,cjm_brd_24hr_03,639_dmso_4hr_01,639_dmso_4hr_02,639_dmso_4hr_03,639_dmso_8hr_01,639_dmso_8hr_02,639_dmso_8hr_03,639_dmso_24hr_01,639_dmso_24hr_02,639_dmso_24hr_03,639_brd_4hr_01,639_brd_4hr_02,639_brd_4hr_03,639_brd_8hr_01,639_brd_8hr_02,639_brd_8hr_03,639_brd_24hr_01,639_brd_24hr_02,639_brd_24hr_03,blank_01,blank_02,blank_03
LPC(18:0)[M+FA-H]-,5337291,6085566,6395186,3368855,3943744,3555618,2290300,2094846,2092053,7652722,5791222,4827516,4601596,4624924,4188833,2954057,2523465,2771543,4520594,4506786,4613964,3742121,3934630,2993602,1240527,1584778,1650793,7279898,8102730,7668234,9741593,9374558,8143372,1.08E+07,1.11E+07,1.05E+07,1130.183,898.756,1422.291
LPE(24:1)[M-H]-,82990.43,94020.71,97090.95,70079.11,78531.84,70582.35,60978.25,92303.41,84404.95,102117.7,82331.31,99808.87,86699.33,83547.16,75340.87,111250.4,106978.3,104070.2,39954.8,39143.2,47118.84,35635.32,36159.57,32262.19,38402.41,49862.98,57646.32,81301.62,91748.24,99098.52,181251.1,162998.6,158341.9,322304.2,361516.3,335943,2976.274,0,0
LPE(16:1)[M-H]-,45338.09,39513.62,53032.03,34956.88,58579.75,35061.48,59222.32,68001.98,29673.62,4244960,58174.99,43045.93,27641.9,41169.73,48405.03,35693.11,34453.39,36490.82,50648.19,90201.68,42989.53,65079.81,51371.04,46216.75,32184.34,28453.09,49208.93,167038,105381.5,149218.3,251233.5,265481.3,182991.3,400734.1,412772.1,245619.3,0,0,0
LPE(20:1)[M-H]-,40631.22,89985,60971.02,22810.01,61478.69,38411.57,44860.84,43212.27,38523.18,452760.6,43891.44,52599.36,142862.1,64356.86,54299.36,46687.91,51496.97,56503.48,88559.49,83982.37,116675.7,74578.43,81017.19,91019.91,90512.78,114849.6,164961.1,333210.2,429615,434488.9,620591.6,603142.3,640919.7,644169.7,732067.2,774891,0,683.8873,552.85
LPE(18:1)[M+NaO2CH-H]-,36626.9,30731.12,28172.67,17719.95,27894.33,18108.76,27328.46,26129.6,26225.05,79033.38,29128.47,21957.29,61808.91,30829.85,40693.05,28709.11,29439.47,34077.84,24728.4,34788.82,55072.44,21837.06,32923.83,48731.01,40289.18,41239.17,100125.4,190297,241047.8,232684.8,294702,270467,400536.2,238234.3,296692.8,328860.2,921.7095,792.1111,608.142
LPG(18:2)[M-H]-,31445.01,41739.14,36481.61,34933.91,25763.28,42338.62,12874.37,15780.91,20121.85,129961.4,37148.88,42777.32,41986.97,37571.47,25934.47,18544.45,20233.51,21849.97,26092.78,23677.53,28270.83,24040.98,25808.87,18155.37,18077.27,23853.97,21820.08,29683.02,39832.15,37798.04,51132.78,38056.16,57132.64,58855.84,59858.22,63173.47,932.4169,709.6201,0
Alkyl_LPE(17:1)[M-H]-,43869.81,50743.26,46576.82,28455.93,36545.51,36364.29,38029.38,38768.53,41376.22,14407.88,42771.77,40964.42,45043.78,37516.75,40207.18,44997.66,40327.62,52745.32,38381.55,37933.06,47322.8,40023.92,43770.86,37024.18,44187.97,49773.5,64323.92,139295.3,197540.1,195193.3,286453,276069.1,262060.5,346407.4,374537.1,395276.9,0,0,0
Alkyl_LPE(16:1)[M-H]-,796008.2,806900.8,879027.7,533449.8,696178.3,630675.9,839049.4,881028.7,883910.8,112671.4,754859.6,765114.3,817293.2,722095.5,804289.6,953777.4,995063.2,1140727,769702.7,795479,907191,791799.2,867318.8,794582.3,935892.3,1188448,1551521,3358590,3971102,4074664,6570342,6505426,5911390,8568620,9139317,8678963,848.6594,0,0
"PA(16:0,18:1)[M-H]-",162234,224747.1,251225.9,161230.5,155029.5,152772,268593.3,537686.3,447117.3,258899.5,202421.7,206371.1,188137.2,178614.3,168934.5,581725.8,521969.6,455066.7,111556.2,89065.41,132933.6,120215.6,129067.6,113386.7,111839.3,145822.9,162224.1,156520.4,232754.5,242167,376529.6,278762.6,389328.5,315046.2,365806.7,559883.3,1429.78,1106.287,984.6707
"PA(18:1,24:0)[M-H]-",3796432,6800198,7018300,4275188,6990236,4078943,3268676,7267580,6693032,6006268,6525472,3631444,7090794,7387710,4622318,8008606,6747750,5731838,3216421,3382206,2440065,3176174,3766632,1962864,3004053,4150157,4296682,3208756,3579897,2263285,3984470,3546104,2583662,3918827,4593894,4180034,0,1753.13,2481.788
"PA(20:1,20:1)[M+FA-H]-",1856182,2109443,2121392,1486257,1863537,1836636,307188.3,1346190,1164625,2100678,2221014,2364546,1685982,2163798,1710488,1453724,1210417,1314109,689225.6,722396.8,793903.6,685689.8,854940.3,525145.8,420555.8,765276.4,655412.7,894925.1,971897.2,978020.5,1225609,964120.3,865435.3,943723.8,1186873,873783.6,0,0,0
"PC(15:0,18:1)[M-H]-",1.64E+07,1.77E+07,1.79E+07,1.53E+07,1.75E+07,1.61E+07,7204328,1.73E+07,1.59E+07,1.68E+07,1.71E+07,1.84E+07,1.65E+07,1.81E+07,1.67E+07,1.71E+07,1.62E+07,1.69E+07,1.44E+07,1.53E+07,1.69E+07,1.59E+07,1.75E+07,1.41E+07,1.26E+07,1.60E+07,1.64E+07,1.48E+07,1.65E+07,1.63E+07,1.89E+07,1.77E+07,1.64E+07,2.01E+07,2.25E+07,2.13E+07,1682.547,0,0
"PC(18:0,18:2)[M+FA-H]-",1.22E+07,1.29E+07,1.38E+07,1.20E+07,1.36E+07,1.31E+07,4989292,1.10E+07,1.01E+07,1.34E+07,1.28E+07,1.37E+07,1.34E+07,1.43E+07,1.33E+07,1.19E+07,1.09E+07,1.10E+07,1.23E+07,1.31E+07,1.39E+07,1.30E+07,1.41E+07,1.17E+07,8712158,1.09E+07,1.14E+07,1.25E+07,1.39E+07,1.31E+07,1.50E+07,1.44E+07,1.31E+07,1.88E+07,2.00E+07,1.90E+07,7512.184,12627.99,8733.176
"PC(16:0,18:2)[2M+FA-H]-",171184.5,264969.7,276053.7,207370.7,290843.1,239686.3,118481.2,215768.1,91218.24,298992.7,137097.9,308200.7,117340.5,309740,234590.7,203375.5,180510.3,225038.1,259425.1,230230,302989.3,362774.9,347587.8,218679.9,180945.4,231038.1,246590.2,285894.6,261349.4,294594.4,337463.4,342169.8,303808.3,215830.2,402004.7,393981.3,0,0,0
"PC(16:0,16:1)[M-H]-",7.28E+07,7.49E+07,7.73E+07,6.21E+07,7.16E+07,6.62E+07,2.82E+07,7.58E+07,7.53E+07,7.31E+07,7.22E+07,7.87E+07,7.19E+07,7.41E+07,6.88E+07,7.60E+07,7.39E+07,8.02E+07,5.54E+07,5.88E+07,6.32E+07,6.08E+07,6.40E+07,5.19E+07,4.86E+07,5.94E+07,6.65E+07,5.97E+07,6.20E+07,6.11E+07,7.10E+07,6.84E+07,6.36E+07,1.00E+08,1.08E+08,1.03E+08,2209.97,5874.316,7285.061
"PC(18:0,20:4)[2M+FA-H]-",28402.23,36296.79,57813.67,44262.96,44314.98,37226.57,0,12507.72,2866.075,24142.49,27688.14,36565.47,41730.4,32074.98,30668.66,5868.024,8438.938,5281.036,33605.82,35234.06,44646.36,46117.08,56604.33,38430.98,7157.621,11884.84,12152.34,32986.12,38056.75,29392.53,62762.09,46841.25,31935.24,110534,94807.8,106942.6,0,0,1374.098
"PC(16:0,20:4)[2M+FA-H]-",28128.65,9452.481,10084.88,34288.68,16582.91,11040.64,0,0,0,6171.764,9280.401,17188.04,24779.54,35713.13,12946.83,7944.566,0,8101.762,90984.53,100533.1,119023.5,123013,123107.1,103300.7,31229.91,43168.45,27263.13,98662.79,115014.9,95007.91,130415.5,111239.3,117100.3,177726.5,114784.1,135598.3,0,0,0
"PC(14:0,14:0)[M+Cl]-",148429.9,141567.5,145397.9,127333.8,127572.1,125965.6,79869.49,191792.9,176625.6,149888.8,125244.6,149402.4,155757.9,131097.4,124249.5,200727,167344.1,202343.2,180222.5,192228.5,209046.8,212237.7,237406.2,186990.6,212858.6,263163.4,298966.3,196587.6,215550.5,228717.4,266695.2,255322.1,244107.2,287592.7,352307.8,331122.2,0,0,0
