compound,t.stat_cjm_4hr,p.val_cjm_4hr,p.adj_cjm_4hr,t.stat_cjm_8hr,p.val_cjm_8hr,p.adj_cjm_8hr,t.stat_cjm_24hr,p.val_cjm_24hr,p.adj_cjm_24hr,t.stat_639_4hr,p.val_639_4hr,p.adj_639_4hr,t.stat_639_8hr,p.val_639_8hr,p.adj_639_8hr,t.stat_639_24hr,p.val_639_24hr,p.adj_639_24hr
"PC(20:5,22:6)[M+FA-H]-",1.2330942094220558,0.2878803409642041,0.998796701739146,0.027957570317594792,0.9790525622740428,0.996984239850957,2.073361662552043,0.1498495286700484,0.772217470408182,0.8041915456404367,0.4726493683708407,0.765812812472386,0.14506298033252774,0.8917182528821523,0.949350826394266,-14.272431980019027,0.004444473357163867,0.0194105571108789
"PC(16:0,19:1)[M+FA-H]-",-0.298338073743062,0.7815031633190318,0.998796701739146,-0.8108024105777766,0.46304862105204103,0.979260541873001,1.352389791981774,0.36250311948751907,0.772217470408182,-0.4793512642169117,0.6633043763624746,0.870280981794432,1.1658359208248943,0.3164332261559287,0.509148198476457,1.838603712836261,0.14749144155726862,0.193504691276251
"PC(16:0,16:0)[M-OH]-",0.036111971396339725,0.9734733386311447,0.998796701739146,0.07920057147871429,0.9412114600695245,0.996984239850957,1.0986220806100848,0.40161675431139465,0.772217470408182,-1.0215113514051806,0.3657955511275623,0.680697808185203,0.03240955437509406,0.9757797218998923,0.986898363410077,0.051813089607762215,0.9630593655905197,0.96985743170057
"PE(18:0,18:2)[M-H]-",-0.39254112483881715,0.7150766113368547,0.998796701739146,-0.7017115112853797,0.5218981403317113,0.979260541873001,1.275645278048562,0.3728149482885756,0.772217470408182,0.38779202325870193,0.722045498192797,0.879850215068207,1.955910921115277,0.13612362353965118,0.283063068701103,1.995747343634146,0.12816937545740256,0.174147595859582
"PE(18:1,18:1)[M-H]-",0.0016516243106021666,0.9987967017391457,0.998796701739146,0.3101921974843223,0.774315156425472,0.979260541873001,1.3909383743158228,0.30658011464877477,0.772217470408182,0.14712532398176079,0.8904349229786134,0.943332047115957,3.016865176514899,0.040145622771416485,0.140838742181691,6.363924149514533,0.007385885814706581,0.0248910167613734
"PE(16:0,18:1)[2M-H]-",0.01635819141182885,0.9879993705997672,0.998796701739146,-0.6544258050030974,0.5513893949163584,0.979260541873001,1.555462772898039,0.2851760661231965,0.772217470408182,0.8378194718458584,0.46771291337738413,0.765812812472386,1.7690445467715121,0.1739620818424046,0.339980689628078,3.945809403542592,0.02210571300674667,0.0495353150098826
"PE(18:1,22:6)[M-H]-1",0.17941859349172418,0.8664769903205329,0.998796701739146,-0.5533001884028944,0.6105611266653755,0.979260541873001,1.156542749431875,0.4201076252070187,0.772217470408182,-1.8766674874588183,0.13828776036460105,0.413896233818526,0.18600169995632213,0.8616862059976612,0.931317414563129,-1.013979042182219,0.3793149774873108,0.436416156894003
"PE(16:1,16:1)[M-H]-",0.3168081448957235,0.7734178869512869,0.998796701739146,-1.3281248806388535,0.2555386002101886,0.979260541873001,1.0898961115704353,0.43631233612773224,0.772217470408182,0.8974545912100356,0.4205756809469763,0.731733298558154,2.703163861263233,0.05547556783096379,0.164885715497587,-2.390693211972348,0.09099102173459948,0.130416559970258
"PE(18:0,20:5)[M+NaO2CH-H]-",0.30603717825951005,0.7773575056854534,0.998796701739146,0.4980126001199646,0.6477456532781933,0.979260541873001,1.3943170572324497,0.33818570365162837,0.772217470408182,-0.8699401280063,0.43675598997576937,0.738859935611183,1.2686959619164468,0.27402962181604656,0.45745607933423,1.5686997278966273,0.21375946281078725,0.266731924440283
"PE(18:1,20:5)[M+NaO2CH-H]-",0.37864871904609876,0.7328600608476398,0.998796701739146,0.12407714157758118,0.9119867081884463,0.995740589552691,1.2175200455238078,0.41997062434468685,0.772217470408182,-1.8218580828889706,0.14259423671810945,0.418015981611992,-0.42444858625500265,0.694251529732629,0.818089756499169,0.9818060843664966,0.3880838613762726,0.445308023241407
"PE(16:0,16:1)[M-H]-",0.009241297437163436,0.9933200795166859,0.998796701739146,-0.9543866934510495,0.4284715111210455,0.979260541873001,1.097629145999032,0.452187379178817,0.772217470408182,-0.44947250772745845,0.6764158921075227,0.870280981794432,-0.2133674679676543,0.841482724262508,0.918761749960085,-2.398495654751857,0.09668371018624013,0.135908907528082
"PE(18:1,20:0)[M-H]-",0.6533357906766221,0.5492427762647886,0.998796701739146,-0.7874948751309612,0.4750674221909502,0.979260541873001,1.2617565965452673,0.39426452630820014,0.772217470408182,0.3167003967014212,0.7763456800275463,0.901816309370352,2.0567148608087242,0.11175838753139535,0.245871551620451,3.198719273966011,0.03463145739237919,0.0658767278397257
