compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI4237,-0.0040160303592955415,20.135248797065866,-0.05407346611245199,0.9571378089933767,1,-8.052883841068876
QI1636,-0.04281504138104886,10.82831085305188,-0.0538215326342164,0.9573373101836202,1,-8.052897747147307
QI184,0.00399314699906661,12.97213109685936,0.053801153535391825,0.957353448114387,1,-8.05289886918239
QI4103,0.008094892857204883,12.52564436425006,0.053782479542305826,0.9573682358110566,1,-8.052899896964501
QI7887,-0.0038693092459727296,12.447322164607375,-0.05309139365098292,0.9579155085570339,1,-8.052937682156236
QI7222,-0.015284235285832892,11.243679977544957,-0.053077677373941014,0.9579263707221397,1,-8.052938427150142
QI3329,0.007900291171445417,15.180178373865537,0.052919380273321784,0.9580517296128481,1,-8.052947011063353
QI3190,0.01287234664689585,15.168690917659463,0.05278496400701164,0.9581581775999307,1,-8.052954279874331
C48:3 TAG,0.009173864020244338,17.527662914896148,0.05261201249209418,0.9582951438619396,1,-8.05296360535885
QI7651,-0.008419282860193888,12.06140785092414,-0.05252276662353477,0.9583658212388826,1,-8.052968405494989
QI5057,0.00797714424287932,12.097765486147694,0.052370285549786094,0.9584865778917095,1,-8.05297658791608
QI7623,-0.0070887423541332595,13.418489208931057,-0.052311471916560534,0.9585331553297047,1,-8.052979737609565
QI5286,0.01278115364750576,13.238133353549271,0.05226359899432176,0.9585710683834996,1,-8.052982298773882
QI7424,-0.01633443442351279,10.9590299348212,-0.052128748310733185,0.9586778641663947,1,-8.052989500577146
QI7644,-0.01215948651227805,13.220232854742354,-0.051962496277545775,0.9588095294887662,1,-8.052998353787224
QI4335,-0.010170272904653999,13.078025025663973,-0.05180169738843732,0.9589368772355793,1,-8.05300688970734
QI482,0.032386281548943074,13.472466996121852,0.051192982920002454,0.9594189700801945,1,-8.05303896337459
QI4137,-0.021026456694295703,12.715152933062578,-0.051098513660566905,0.9594937897185416,1,-8.053043907057713
QI92,0.002185030228396556,15.499179909238434,0.05032739094413511,0.9601045325587659,1,-8.05308391934999
QI1904,0.05504983369653438,12.777046853547155,0.05030510328364681,0.96012218514311,1,-8.05308506677468
QI3046,0.011865551585726664,12.614412691489937,0.05024565639367426,0.9601692691988281,1,-8.053088124764304
QI1144,-0.008455422672435375,12.711052263859765,-0.05011336985883082,0.9602740453661538,1,-8.053094916702017
QI5943,0.06759163087262188,11.667915168830282,0.04984548265239723,0.960486224805202,1,-8.053108615897436
QI6213,0.01021189332027106,15.906737994456345,0.04963817065995654,0.9606504277793796,1,-8.053119167009273
QI6824,-0.028900581646674084,13.401929827116174,-0.049597972341546545,0.9606822673509244,1,-8.053121207807031
QI3631,0.027567529776751698,10.712839253953986,0.04933670749682692,0.9608892069604484,1,-8.053134431473628
QI7736,0.0057472273989223055,13.2928106047213,0.04933123953491269,0.9608935379891534,1,-8.053134707483158
QI2682,0.022295846299167366,12.19373547487891,0.04928954730603727,0.9609265613455605,1,-8.05313681100053
QI7721,-0.004789302247804272,13.8355908480036,-0.049216012853134074,0.9609848062888783,1,-8.053140516734144
QI2290,0.003566095394315738,20.50255067507566,0.0490674951094666,0.9611024444245733,1,-8.05314798434525
QI276,0.0014203270961417047,19.118922131746327,0.04843569030599419,0.9616028950098754,1,-8.053179499890891
QI7955,0.0016126603406831919,14.422766491658077,0.048264285086001585,0.9617386672556554,1,-8.053187979462706
QI4099,0.004353183659612014,13.69858267499087,0.04818389222644048,0.9618023478545336,1,-8.053191946215577
QI2385,-0.006326429458596294,16.108583503923857,-0.04812301153661297,0.9618505726885043,1,-8.05319494579731
QI5190,-0.009647382882180366,12.55720284852533,-0.048019409410697496,0.9619326383743799,1,-8.053200041540345
QI2463,0.01984753115388216,20.25205702078645,0.04781722909721748,0.9620927913695734,1,-8.053209954295774
QI4233,-0.009198750272634726,11.076879508962541,-0.04742379121377635,0.9624044496717972,1,-8.053229124399698
QI4467,0.03189845643163203,12.735957701251051,0.0471716071432709,0.9626042181641739,1,-8.053241328681775
QI6865,-0.006951744847263797,13.44347816132293,-0.04678307897518274,0.9629119968687196,1,-8.053260003907123
QI7198,0.019844776659416752,11.023938120077835,0.04607215215605934,0.9634751835401438,1,-8.053293775901487
QI303,0.003978418564473785,15.284221842047948,0.04601777979628929,0.9635182573742351,1,-8.053296337529966
QI6430,-0.002583215204921885,22.378023751245482,-0.045402602211378845,0.9640056092888013,1,-8.053325109504462
QI1149,0.0019208457667758694,14.476538200157705,0.045356057372955096,0.9640424833023147,1,-8.053327270660134
